;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;E06;SYBR;;Unkn;;80;80,5292410540778;75,5;82;
;E06;SYBR;;Unkn;;86;119,031589681009;82;95;
;E07;SYBR;;Unkn;;79,5;83,1044951029726;76;82,5;
;E07;SYBR;;Unkn;;86,5;121,46825289515;82,5;93;
;E08;SYBR;;Unkn;;86;97,6599614379808;82;93;
;E09;SYBR;;Unkn;;79,5;74,1343930714281;75,5;82;
;E09;SYBR;;Unkn;;86;106,236886029229;82;94;
;E10;SYBR;;Unkn;;88,5;111,966576435883;86;94;
;E11;SYBR;;Unkn;;89;132,996709315154;86;94;
;E12;SYBR;;Unkn;;89;143,508561916088;86;93;
;F01;SYBR;;Unkn;;80;69,6153277477584;70;82,5;
;F01;SYBR;;Unkn;;86;102,937347664922;82,5;92,5;
;F02;SYBR;;Unkn;;88,5;125,005432957296;86;95;
;F03;SYBR;;Unkn;;88,5;121,250019197354;85,5;94,5;
;F04;SYBR;;Unkn;;88,5;124,595563675853;86;92;
;F05;SYBR;;Unkn;;88,5;125,349047735988;85,5;94,5;
;F06;SYBR;;Unkn;;79,5;75,9338423297997;68,5;82;
;F06;SYBR;;Unkn;;86;103,657666693961;82,5;93,5;
;F07;SYBR;;Unkn;;79,5;78,6472570899539;67;82;
;F07;SYBR;;Unkn;;86;120,117783715847;82;95;
;F08;SYBR;;Unkn;;80;72,2676833985053;68,5;82;
;F08;SYBR;;Unkn;;86;104,164582072581;82,5;95;
;F09;SYBR;;Unkn;;79,5;80,0882484182274;69;82;
;F09;SYBR;;Unkn;;86;111,964226887845;82;91,5;
;F10;SYBR;;Unkn;;88,5;123,837871969407;86;95;
;F11;SYBR;;Unkn;;88,5;125,482374600782;86;93,5;
;F12;SYBR;;Unkn;;89;114,573705255626;86;93,5;
;G01;SYBR;;Unkn;;80,5;161,058658473386;64,5;85;
;G02;SYBR;;Unkn;;80,5;188,826812005845;73;84,5;
;G03;SYBR;;Unkn;;80,5;223,928205671848;70;84,5;
;G04;SYBR;;Unkn;;80,5;196,866337680338;73,5;84,5;
;G05;SYBR;;Unkn;;80,5;226,472404569873;68;85,5;
;G06;SYBR;;Unkn;;81;235,979374075639;67,5;84,5;
;G07;SYBR;;Unkn;;81;240,905417865828;63;85;
;G08;SYBR;;Unkn;;81;237,965752571989;69,5;86;
;G09;SYBR;;Unkn;;80,5;216,008728037116;75,5;86;
;G10;SYBR;;Unkn;;81;227,41226101596;70;84,5;
;G11;SYBR;;Unkn;;81;213,401926060954;70;84,5;
;G12;SYBR;;Unkn;;81;143,955867761818;73;85;
;H01;SYBR;;Unkn;;80,5;164,97055202195;61;84;
;H02;SYBR;;Unkn;;81;189,885155577314;66;84,5;
;H03;SYBR;;Unkn;;80,5;217,552746975113;65,5;87;
;H04;SYBR;;Unkn;;80,5;188,163533825127;64;86,5;
;H05;SYBR;;Unkn;;81;226,49376616649;70;84,5;
;H06;SYBR;;Unkn;;80,5;195,730236590305;66;87,5;
;H07;SYBR;;Unkn;;81;208,443984076535;70;84,5;
;H08;SYBR;;Unkn;;81;225,737861859029;65,5;86,5;
;H09;SYBR;;Unkn;;81;211,859989110428;67;84,5;
;H10;SYBR;;Unkn;;81;214,629726188955;72;84;
;H11;SYBR;;Unkn;;81;216,136382961319;72;84,5;
;H12;SYBR;;Unkn;;80,5;178,868737853228;71,5;84,5;
