;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;C05;SYBR;;Unkn;;508,853594881556;;Unknown;Unassigned;False
;C06;SYBR;;Unkn;;708,402557609381;;Unknown;Unassigned;False
;C07;SYBR;;Unkn;;604,841739936261;;Unknown;Unassigned;False
;C08;SYBR;;Unkn;;722,316320483661;;Unknown;Unassigned;False
;C09;SYBR;;Unkn;;741,040619437338;;Unknown;Unassigned;False
;C10;SYBR;;Unkn;;764,417409978971;;Unknown;Unassigned;False
;C11;SYBR;;Unkn;;727,754848928762;;Unknown;Unassigned;False
;C12;SYBR;;Unkn;;532,189323587495;;Unknown;Unassigned;False
;D01;SYBR;;Unkn;;520,724301638046;;Unknown;Unassigned;False
;D02;SYBR;;Unkn;;596,969878316654;;Unknown;Unassigned;False
;D03;SYBR;;Unkn;;596,139064193899;;Unknown;Unassigned;False
;D04;SYBR;;Unkn;;772,427385680106;;Unknown;Unassigned;False
;D05;SYBR;;Unkn;;683,689555203355;;Unknown;Unassigned;False
;D06;SYBR;;Unkn;;687,680184568902;;Unknown;Unassigned;False
;D07;SYBR;;Unkn;;612,009665584372;;Unknown;Unassigned;False
;D08;SYBR;;Unkn;;755,636662893639;;Unknown;Unassigned;False
;D09;SYBR;;Unkn;;631,864607293028;;Unknown;Unassigned;False
;D10;SYBR;;Unkn;;804,105734864332;;Unknown;Unassigned;False
;D11;SYBR;;Unkn;;636,282541178161;;Unknown;Unassigned;False
;D12;SYBR;;Unkn;;576,409509726211;;Unknown;Unassigned;False
;E01;SYBR;;Unkn;;692,241439370765;;Unknown;Unassigned;False
;E02;SYBR;;Unkn;;607,398511604989;;Unknown;Unassigned;False
;E03;SYBR;;Unkn;;838,391224548632;;Unknown;Unassigned;False
;E04;SYBR;;Unkn;;735,456820680703;;Unknown;Unassigned;False
;E05;SYBR;;Unkn;;688,591108344075;;Unknown;Unassigned;False
;E06;SYBR;;Unkn;;712,768038387722;;Unknown;Unassigned;False
;E07;SYBR;;Unkn;;815,026538902383;;Unknown;Unassigned;False
;E08;SYBR;;Unkn;;739,815625032906;;Unknown;Unassigned;False
;E09;SYBR;;Unkn;;740,984048713961;;Unknown;Unassigned;False
;E10;SYBR;;Unkn;;703,684477674473;;Unknown;Unassigned;False
;E11;SYBR;;Unkn;;717,060823505488;;Unknown;Unassigned;False
;E12;SYBR;;Unkn;;795,655381725186;;Unknown;Unassigned;False
;F01;SYBR;;Unkn;;457,009036397415;;Unknown;Unassigned;False
;F02;SYBR;;Unkn;;627,448885006506;;Unknown;Unassigned;False
;F03;SYBR;;Unkn;;775,881582423622;;Unknown;Unassigned;False
;F04;SYBR;;Unkn;;635,857361045335;;Unknown;Unassigned;False
;F05;SYBR;;Unkn;;752,556443693504;;Unknown;Unassigned;False
;F06;SYBR;;Unkn;;671,578912237812;;Unknown;Unassigned;False
;F07;SYBR;;Unkn;;775,102041883625;;Unknown;Unassigned;False
;F08;SYBR;;Unkn;;756,410279205251;;Unknown;Unassigned;False
;F09;SYBR;;Unkn;;666,140471611451;;Unknown;Unassigned;False
;F10;SYBR;;Unkn;;816,221201019926;;Unknown;Unassigned;False
;F11;SYBR;;Unkn;;830,397051331859;;Unknown;Unassigned;False
;F12;SYBR;;Unkn;;575,346411928007;;Unknown;Unassigned;False
;G01;SYBR;;Unkn;;421,136910076444;;Unknown;Unassigned;False
;G02;SYBR;;Unkn;;680,651178291564;;Unknown;Unassigned;False
;G03;SYBR;;Unkn;;766,489557188142;;Unknown;Unassigned;False
;G04;SYBR;;Unkn;;753,862914448444;;Unknown;Unassigned;False
;G05;SYBR;;Unkn;;668,196079763118;;Unknown;Unassigned;False
;G06;SYBR;;Unkn;;722,394012092753;;Unknown;Unassigned;False
;G07;SYBR;;Unkn;;803,892128528616;;Unknown;Unassigned;False
;G08;SYBR;;Unkn;;857,657597184476;;Unknown;Unassigned;False
;G09;SYBR;;Unkn;;732,984848110308;;Unknown;Unassigned;False
;G10;SYBR;;Unkn;;677,650208752581;;Unknown;Unassigned;False
;G11;SYBR;;Unkn;;714,016439756148;;Unknown;Unassigned;False
;G12;SYBR;;Unkn;;707,589048173292;;Unknown;Unassigned;False
;H01;SYBR;;Unkn;;447,956641904233;;Unknown;Unassigned;False
;H02;SYBR;;Unkn;;702,297366507912;;Unknown;Unassigned;False
;H03;SYBR;;Unkn;;679,844933745926;;Unknown;Unassigned;False
;H04;SYBR;;Unkn;;649,596644366741;;Unknown;Unassigned;False
;H05;SYBR;;Unkn;;749,270687601055;;Unknown;Unassigned;False
;H06;SYBR;;Unkn;;589,525620923919;;Unknown;Unassigned;False
;H07;SYBR;;Unkn;;644,766166945451;;Unknown;Unassigned;False
;H08;SYBR;;Unkn;;678,878319794354;;Unknown;Unassigned;False
;H09;SYBR;;Unkn;;699,880619527453;;Unknown;Unassigned;False
;H10;SYBR;;Unkn;;771,38036771191;;Unknown;Unassigned;False
;H11;SYBR;;Unkn;;706,709830344378;;Unknown;Unassigned;False
;H12;SYBR;;Unkn;;319,41560799909;;Unknown;Unassigned;False
